,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
249,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,08,0.0,16399,579236355447557,24,35.9,212.0909118652344,4.664051055908203,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,30.9,0.0,0.0,,,C,338432117429426,G,G08
250,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,10,0.0,16399,579236349842207,13,41.3,385.5321960449219,1.1801539659500122,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,36.3,0.0,0.0,,,C,338432117429426,G,G10
251,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,21,0.0,16399,579236353775061,7,47.4,-313.9074401855469,0.028205489739775658,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,42.4,0.0,0.0,,,C,338432117429426,G,G21
252,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,27,0.0,16399,579236351911969,16,39.7,573.1281127929688,2.895810127258301,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,34.7,0.0,0.0,,,C,338432117429426,G,G27
253,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,28,0.0,16399,579236346602019,17,38.7,-476.25,6.329985618591309,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,33.7,0.0,0.0,,,C,338432117429426,G,G28
254,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,32,0.0,16399,579236354376092,6,48.9,279.6937561035156,0.026305874809622765,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,43.9,0.0,0.0,,,C,338432117429426,G,G32
281,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,08,0.0,81935,579236355455439,9,31.6,212.01759338378903,3.905292510986328,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.28,26.6,-7861.568359375,6.029321193695068,,,Q,338432117429426,G,G08
282,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,10,0.0,81935,579236349850059,6,35.3,385.274169921875,0.8475044965744019,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.28,30.299999999999997,-7861.568359375,6.029321193695068,,,Q,338432117429426,G,G10
283,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,27,0.0,81935,579236351919815,9,31.8,573.0552978515625,3.8992927074432373,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.28,26.8,-7861.568359375,6.029321193695068,,,Q,338432117429426,G,G27
284,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,28,0.0,81935,579236346609813,12,28.7,-476.1206970214844,0.9404999613761902,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.28,23.7,-7861.568359375,6.029321193695068,,,Q,338432117429426,G,G28
